# Property Boundary Coordinates
# Format: Point X Y
# Can be imported into QGIS, Google Earth, or other GIS software

M-0	1906.52	1779.73
E-26	16.15	-1.27
E-27	41.46	100.22
E-30	119.74	101.93
E-31	122.86	122.80
E-32	157.74	140.23
E-33	185.37	110.08
E-34	235.34	161.36
E-35	268.85	164.89
E-36	254.91	187.19
E-37	298.77	220.54
E-39	339.81	215.87
E-40	359.91	242.54
E-41	406.55	271.69
E-42	430.33	263.96
M-13	795.37	-55.36
M-13	795.37	-55.36
M-14	795.37	-55.36
M-15	1096.81	845.55
M-15A	827.32	660.33
M-15B	781.71	560.23
M-15C	995.32	158.49
M-15D	1226.02	92.34
M-15E	1352.35	-21.41
M-16	1403.85	-387.81
E-43	1489.20	-359.25
E-44	1452.03	-339.70
E-45	1418.79	-321.27
E-46	1486.46	-284.53
E-47	1402.16	-253.02
E-48	1377.90	-246.97
E-49	1189.33	-133.66
M-6	1109.87	-124.30
M-7	1190.65	226.52
M-8	1247.25	320.84
M-9	1356.78	739.39
E-11A	1375.35	760.61
E-12	1401.81	785.68
M-10	1490.72	839.21
E-13	1517.74	878.43
E-14	1549.69	958.59
E-15	1593.41	1004.42
E-16	1650.71	1142.86
E-17	1707.26	1278.28
E-18	1722.15	1305.81
E-19	1755.73	1321.17
M-11	1806.52	1349.73
M-1B	1806.52	1349.73
M-1	1906.52	1349.73
M-0	1906.52	1779.73
